add device 1: /dev/input/event1
  name:     "Sleep Button"
add device 2: /dev/input/event0
  name:     "Power Button"
add device 3: /dev/input/event2
  name:     "Video Bus"
add device 4: /dev/input/event4
  name:     "AT Raw Set 2 keyboard"
add device 5: /dev/input/event3
  name:     "AT Translated Set 2 keyboard"
add device 6: /dev/input/event8
  name:     "BlueStacks Virtual Touch"
add device 7: /dev/input/event6
  name:     "BlueStacks Virtual Mouse"
add device 8: /dev/input/event7
  name:     "AT Translated Set 2 keyboard"
add device 9: /dev/input/event5
  name:     "VirtualBox mouse integration"
[1528283731.492973] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.513254] /dev/input/event6: EV_ABS       ABS_Y                00004917            
[1528283731.513254] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.525805] /dev/input/event6: EV_ABS       ABS_X                00003d18            
[1528283731.525805] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.543949] /dev/input/event6: EV_ABS       ABS_X                00003cf1            
[1528283731.543949] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.559433] /dev/input/event6: EV_ABS       ABS_X                00003ca5            
[1528283731.559433] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.588844] /dev/input/event6: EV_ABS       ABS_X                00003c7f            
[1528283731.588844] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283731.792292] /dev/input/event7: EV_MSC       MSC_SCAN             00000000            
[1528283731.792292] /dev/input/event7: EV_SYN       SYN_REPORT           00000000            
[1528283731.792384] /dev/input/event8: EV_ABS       ABS_MT_POSITION_X    00003c7f            
[1528283731.792384] /dev/input/event8: EV_ABS       ABS_MT_POSITION_Y    00004916            
[1528283731.792384] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528283731.792384] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528283731.899377] /dev/input/event8: EV_SYN       SYN_MT_REPORT        00000000            
[1528283731.899377] /dev/input/event8: EV_SYN       SYN_REPORT           00000000            
[1528283731.983458] /dev/input/event6: EV_ABS       ABS_X                00003c59            
[1528283731.983458] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.027551] /dev/input/event6: EV_ABS       ABS_X                00003c33            
[1528283732.027551] /dev/input/event6: EV_ABS       ABS_Y                000048eb            
[1528283732.027551] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.152943] /dev/input/event6: EV_ABS       ABS_Y                00004891            
[1528283732.152943] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.155815] /dev/input/event6: EV_ABS       ABS_Y                000047de            
[1528283732.155815] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.156060] /dev/input/event6: EV_ABS       ABS_X                00003be6            
[1528283732.156060] /dev/input/event6: EV_ABS       ABS_Y                000046d1            
[1528283732.156060] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.156104] /dev/input/event6: EV_ABS       ABS_X                00003bc0            
[1528283732.156104] /dev/input/event6: EV_ABS       ABS_Y                0000461e            
[1528283732.156104] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.157301] /dev/input/event6: EV_ABS       ABS_X                00003b9a            
[1528283732.157301] /dev/input/event6: EV_ABS       ABS_Y                000044e5            
[1528283732.157301] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.176350] /dev/input/event6: EV_ABS       ABS_Y                0000448b            
[1528283732.176350] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.233428] /dev/input/event6: EV_ABS       ABS_Y                00004432            
[1528283732.233428] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.246641] /dev/input/event6: EV_ABS       ABS_Y                000043ac            
[1528283732.246641] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.509812] /dev/input/event6: EV_ABS       ABS_X                00003bc0            
[1528283732.509812] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.525586] /dev/input/event6: EV_ABS       ABS_X                00003ccb            
[1528283732.525586] /dev/input/event6: EV_ABS       ABS_Y                0000445f            
[1528283732.525586] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.540653] /dev/input/event6: EV_ABS       ABS_X                00003d18            
[1528283732.540653] /dev/input/event6: EV_ABS       ABS_Y                0000448b            
[1528283732.540653] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.559813] /dev/input/event6: EV_ABS       ABS_X                00003d8a            
[1528283732.559813] /dev/input/event6: EV_ABS       ABS_Y                00004512            
[1528283732.559813] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.577931] /dev/input/event6: EV_ABS       ABS_X                00003dfd            
[1528283732.577931] /dev/input/event6: EV_ABS       ABS_Y                00004598            
[1528283732.577931] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.590128] /dev/input/event6: EV_ABS       ABS_X                00003e23            
[1528283732.590128] /dev/input/event6: EV_ABS       ABS_Y                000045f2            
[1528283732.590128] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.631856] /dev/input/event6: EV_ABS       ABS_X                00003e49            
[1528283732.631856] /dev/input/event6: EV_ABS       ABS_Y                00004678            
[1528283732.631856] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.640561] /dev/input/event6: EV_ABS       ABS_X                00003e6f            
[1528283732.640561] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.656261] /dev/input/event6: EV_ABS       ABS_X                00003ebb            
[1528283732.656261] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.679368] /dev/input/event6: EV_ABS       ABS_Y                000046a5            
[1528283732.679368] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.688525] /dev/input/event6: EV_ABS       ABS_X                00003ee1            
[1528283732.688525] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.729208] /dev/input/event6: EV_ABS       ABS_X                00003f54            
[1528283732.729208] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.745709] /dev/input/event6: EV_ABS       ABS_X                00003f7a            
[1528283732.745709] /dev/input/event6: EV_ABS       ABS_Y                000046d1            
[1528283732.745709] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.760451] /dev/input/event6: EV_ABS       ABS_Y                0000472b            
[1528283732.760451] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.808992] /dev/input/event6: EV_ABS       ABS_X                00004039            
[1528283732.808992] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.889147] /dev/input/event6: EV_ABS       ABS_X                0000411e            
[1528283732.889147] /dev/input/event6: EV_ABS       ABS_Y                000046a5            
[1528283732.889147] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.889196] /dev/input/event6: EV_ABS       ABS_X                0000430e            
[1528283732.889196] /dev/input/event6: EV_ABS       ABS_Y                000045f2            
[1528283732.889196] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.890073] /dev/input/event6: EV_ABS       ABS_X                000044fd            
[1528283732.890073] /dev/input/event6: EV_ABS       ABS_Y                0000448b            
[1528283732.890073] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
[1528283732.918911] /dev/input/event6: EV_ABS       ABS_X                00004596            
[1528283732.918911] /dev/input/event6: EV_ABS       ABS_Y                000043d8            
[1528283732.918911] /dev/input/event6: EV_SYN       SYN_REPORT           00000000            
